TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD
g_g000992,보조배터리,1,1,3028701186.0,주식회사 디엘티테크코리아,경기 남양주시 홍유릉로212번길 26-1,경기 남양주시 금곡동 550-2,4391787.0,4136010300.0,2023-05-24 11:25,1,33326,팬톤 맥세이프 보조배터리 아이폰 무선충전 10000mAh,
g_g000996,고속버스비,1,1,3538700773.0,(주)동부고속,서울 서초구 신반포로 194,서울 서초구 반포동 19-4,3121017.0,1165010700.0,2023-05-23 00:00,1,13100,버스표,
g_g000996,고속버스비,2,1,2198101636.0,(주)중앙고속,경기 화성시 풀무골로 1,경기 화성시 영천동 651-866,3210155.0,4159013100.0,2023-05-23 00:12,1,13100,버스비,
g_g000998,기차표,1,1,3148210024.0,한국철도공사,대전 동구 중앙로 240,,3164033.0,3011011300.0,2023-05-26 00:00,1,51000,기차표,
g_g001008,숙박시설에서 먹을음식,1,4,4178509429.0,롯데마트 여천점,전남 여수시 무선로 187,,3282025.0,4613013500.0,2023-05-27 19:11,1,100050,롯데 아이시스;팹시콜라;칠성 사이다;농심 얼큰한 너구리;농심 새우깡,
g_g001028,곱창전골 어묵탕 라면 고기 마늘 얼음 물 음료수,1,3,4738100089.0,주식회사 컬리,서울 강남구 테헤란로 133,,3122010.0,1168010100.0,2023-05-26 20:09,1,88802,[농심]신라면 건면5입,
g_g001033,전주한옥마을패키지권,1,2,8158101244.0,11번가,서울 중구 한강대로 416,서울 중구 남대문로5가 541,2005005.0,1114011800.0,,1,48600,[전북투어패스]전주한옥마을 패키지권/전주여행,
g_g001036,유부초밥;오리고기;토마호크;양고기;소주;맥주 어묵탕;크림닭갈비;떡볶이;소고기 등,0,5,,이마트 평택점,,,,,,1,470000,,4122012100.0
g_g001039,삼겹살;야채;떡볶이;청국장 등,0,1,,nc백화점,계룡로 119,,,,,1,149000,,3020011100.0
g_g001040,바베큐 파티 재료,1,2,,,,,,,2023-05-25 14:04,3,93500,(해선생)구룡포 반건조 오징어 2미;윙잇X프렙 갈릭 앤초비 오일 파스타;토마호크 시즈닝 스테이크;(신규전용)고른 칼집 멍석말이 돼지 왕구이 3인분,
