,userID,itemID,SIDO
2952,e007425,민우당 서림,강원
2953,e007430,미유 애월점,제주특별자치도
2954,e007430,민오름,제주특별자치도
2955,e007431,미유 애월점,제주특별자치도
2956,e007431,민오름,제주특별자치도
2957,e007437,민락수변공원,부산
2958,e007437,민락 회 타운 시장,부산
2959,e007441,미유 애월점,제주특별자치도
2960,e007441,민오름,제주특별자치도
2961,e007450,미유 애월점,제주특별자치도
2962,e007450,민오름,제주특별자치도
2963,e007452,힐링파크쑥섬쑥섬,전남
2964,e007460,미유 애월점,제주특별자치도
2965,e007460,민오름,제주특별자치도
2966,e007474,밀리오레,서울
2967,e007480,밀리오레,서울
2968,e007482,힐링파크쑥섬쑥섬,전남
2969,e007484,미유 애월점,제주특별자치도
2970,e007484,민오름,제주특별자치도
2971,e007488,미황사,전남
2972,e007496,힐링파크쑥섬쑥섬,전남
2973,e007497,힐링파크쑥섬쑥섬,전남
2974,e007504,미인폭포,강원
2975,e007504,민우당 서림,강원
2976,e007509,미유 애월점,제주특별자치도
2977,e007509,민오름,제주특별자치도
2978,e007512,미인폭포,강원
2979,e007512,민우당 서림,강원
2980,e007515,미인폭포,강원
2981,e007515,민우당 서림,강원
2982,e007518,밀리오레,서울
2983,e007527,미유 애월점,제주특별자치도
2984,e007527,민오름,제주특별자치도
2985,e007533,밀양강,경남
2986,e007534,미인폭포,강원특별자치도
2987,e007534,민둥산,강원특별자치도
2988,e007538,밀양강,경남
2989,e007548,힐링파크쑥섬쑥섬,전남
2990,e007552,미유 애월점,제주특별자치도
2991,e007552,민오름,제주특별자치도
2992,e007562,미인폭포,강원
2993,e007562,민우당 서림,강원
2994,e007567,미인폭포,강원
2995,e007567,민우당 서림,강원
2996,e007572,미유 애월점,제주특별자치도
2997,e007572,민오름,제주특별자치도
2998,e007573,미인폭포,강원
2999,e007573,민우당 서림,강원
3000,e007574,힐링파크쑥섬쑥섬,전남
3001,e007575,미유 애월점,제주특별자치도
3002,e007575,민오름,제주특별자치도
3003,e007581,미유 애월점,제주특별자치도
3004,e007581,민오름,제주특별자치도
3005,e007583,힐링파크쑥섬쑥섬,전남
3006,e007584,밀란 더 마켓,부산
3007,e007584,민락수변공원,부산
3008,e007585,미유 애월점,제주특별자치도
3009,e007585,민오름,제주특별자치도
3010,e007591,힐링파크쑥섬쑥섬,전남
3011,e007593,힐링파크쑥섬쑥섬,전남
3012,e007597,미유 애월점,제주특별자치도
