TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
e000579,28,남,30,2,2,2,4,5,5,5,6,3,4,1,1
e000580,44,여,40,4,2,5,1,1,6,6,4,1,2,8,0
e000584,26,여,30,4,3,6,3,6,6,2,6,9,1,3,1
e000588,11,여,40,4,5,4,2,3,3,5,5,7,2,8,1
e000590,41,여,30,5,2,2,2,6,2,2,7,2,8,5,1
e000591,41,남,30,1,3,2,1,1,1,1,5,2,3,1,1
e000594,11,여,30,6,2,2,3,5,5,1,3,1,3,2,1
e000595,41,여,20,2,2,6,2,2,2,2,6,3,1,2,1
e000597,11,남,40,1,7,1,1,7,7,7,1,2,1,8,1
e000599,41,여,40,4,4,4,4,4,4,4,4,3,8,2,1
e000601,41,여,20,2,2,2,5,2,1,1,6,1,2,7,0
e000602,11,여,20,1,1,3,7,5,3,1,1,1,5,4,0
e000603,26,여,40,2,4,2,2,2,4,2,3,8,7,3,3
e000604,11,남,50,1,1,6,4,3,2,5,6,4,1,6,0
e000605,11,여,20,1,1,7,4,1,1,7,7,2,5,7,0
e000607,41,여,30,1,3,2,4,2,4,6,2,2,3,7,3
e000608,47,여,20,4,2,4,4,5,4,6,6,7,4,2,0
e000609,11,남,30,4,4,4,3,4,6,6,6,1,7,5,2
e000612,11,남,40,2,2,3,3,4,6,2,5,3,1,7,1
e000615,11,여,30,3,2,3,3,3,4,5,6,5,2,3,1
e000618,28,여,40,4,2,4,2,3,2,4,4,1,3,2,1
e000620,11,남,30,6,2,3,2,5,4,2,6,1,2,6,2
e000621,41,여,60,1,4,4,3,2,7,6,1,6,2,,0
e000622,41,여,20,7,1,1,1,1,1,1,7,2,,,1
e000623,41,여,40,4,1,4,2,6,4,2,4,7,10,,5
e000625,41,여,30,2,1,2,3,2,5,3,5,3,2,1,2
e000627,41,남,40,6,4,3,2,3,5,2,5,2,1,4,0
e000628,11,남,40,5,3,2,6,5,4,4,5,3,2,1,2
e000632,41,여,60,2,4,4,4,4,6,5,2,8,1,7,0
e000637,41,여,20,2,2,3,4,6,3,3,5,5,3,1,1
e000639,11,여,40,2,6,4,2,2,6,6,5,6,2,1,0
e000640,11,여,60,4,7,4,4,7,4,7,4,6,3,2,2
e000641,41,여,30,2,2,3,4,4,3,3,3,8,,,3
e000644,11,남,40,1,1,1,4,6,4,2,6,2,1,8,3
e000645,11,여,20,2,6,4,4,2,2,5,5,2,6,1,1
e000646,11,여,20,2,2,2,2,4,4,2,4,1,,,0
e000647,41,여,30,4,5,3,6,3,3,6,5,1,3,4,1
e000648,11,여,40,5,4,3,2,2,4,5,4,2,3,1,3
e000650,27,여,30,3,2,4,2,3,5,5,3,1,4,2,0
e000651,11,여,60,1,3,1,1,3,3,4,3,1,7,2,3
e000654,11,여,30,1,1,1,3,7,1,1,7,2,6,7,1
e000655,11,남,50,3,2,2,4,3,5,3,2,2,6,10,0
e000662,41,남,30,6,3,2,3,3,3,5,3,1,7,2,0
e000664,41,남,30,2,4,1,2,2,2,2,1,3,1,7,2
e000666,42,남,20,4,2,3,5,5,2,5,5,6,1,2,1
e000668,43,여,30,2,1,6,3,4,5,2,6,9,3,,5
e000669,11,남,30,1,1,7,1,7,7,1,7,7,8,3,3
e000672,11,남,60,1,1,1,1,1,1,2,2,6,3,1,9
e000673,11,남,30,2,1,1,7,6,1,7,1,1,5,2,0
e000680,47,남,40,4,3,4,3,4,4,4,3,8,3,7,2
e000682,11,남,20,4,1,2,3,5,6,6,7,5,2,7,1
e000686,41,남,30,3,2,1,2,2,6,3,3,1,3,2,1
e000689,47,남,20,4,2,1,6,5,5,1,6,1,3,2,1
e000691,41,여,30,2,1,1,3,6,1,7,7,5,7,1,1
e000693,11,남,40,1,4,1,3,6,1,1,6,1,3,2,2
e000695,11,여,30,5,4,5,4,5,5,4,3,2,1,5,1
e000696,44,남,40,4,2,2,4,6,6,2,2,1,3,10,3
e000697,41,남,50,1,2,2,6,1,6,7,7,2,1,7,0
e000699,42,여,30,6,2,1,1,1,6,6,7,7,2,1,1
e000700,41,여,20,1,4,6,2,2,6,6,6,1,2,6,0
e000704,11,여,30,1,1,1,3,3,1,2,7,1,2,4,0
e000705,11,남,20,2,2,1,5,6,2,2,3,7,1,2,0
e000706,11,여,20,3,2,2,4,3,3,1,6,1,2,3,5
e000707,11,남,40,1,1,3,5,4,2,5,2,2,1,3,3
e000709,11,남,60,1,2,3,2,4,4,5,4,2,1,3,2
e000710,41,남,30,1,1,6,4,1,3,6,2,2,1,3,1
e000715,11,여,30,3,3,3,3,4,3,5,4,3,,,1
e000717,41,여,30,5,4,3,1,4,4,2,7,1,3,2,3
e000718,11,여,20,4,2,2,4,3,5,4,7,5,1,2,0
e000733,11,남,30,1,1,4,1,7,4,2,7,2,7,1,3
e000734,11,여,40,1,4,5,2,2,6,6,2,1,2,4,0
e000736,11,여,40,6,1,6,1,5,7,1,1,7,1,8,3
e000737,41,남,30,2,1,1,3,4,1,4,2,6,2,1,0
e000738,11,남,30,6,4,6,3,3,2,7,6,2,1,3,1
e000743,28,남,30,1,1,1,3,6,5,6,6,3,2,9,1
e000745,11,여,40,2,4,2,2,6,3,1,5,3,8,7,2
e000746,41,남,30,6,2,4,6,6,4,7,4,3,1,7,1
e000747,11,여,40,4,1,1,1,7,4,7,1,1,2,10,6
e000748,28,여,30,3,5,2,2,4,3,2,5,1,7,4,1
e000751,26,남,30,2,3,2,3,2,2,3,2,8,4,3,2
e000752,50,여,40,4,1,1,7,7,7,7,1,6,4,8,0
e000760,42,남,30,3,3,2,1,3,3,5,6,1,2,3,3
e000761,41,남,50,1,4,2,3,2,3,2,4,9,2,1,2
e000762,41,여,20,1,1,3,3,1,3,6,2,2,1,4,0
e000765,11,남,30,1,1,2,6,7,1,1,6,8,5,7,2
e000767,41,여,40,1,5,2,3,7,3,6,6,6,4,7,0
e000768,41,여,40,4,4,7,1,7,7,6,7,5,1,2,0
e000771,11,여,40,1,1,4,2,2,4,6,3,2,3,1,2
e000774,11,여,30,1,1,3,5,5,5,1,4,1,3,2,6
e000782,41,남,50,4,7,7,2,5,7,1,2,5,3,1,2
e000785,41,여,20,4,2,2,5,4,4,7,5,2,3,1,4
e000787,11,여,20,4,2,1,1,2,3,2,7,3,1,7,4
e000789,11,여,40,1,1,4,4,5,6,2,4,2,3,1,3
e000791,41,남,20,1,2,2,3,3,4,6,4,1,5,3,1
e000793,41,남,60,2,4,6,4,3,5,5,4,3,2,1,1
e000794,46,여,20,4,6,2,4,3,2,5,2,1,2,8,0
e000801,11,남,30,4,1,4,1,2,4,1,6,2,6,7,0
e000802,41,남,40,2,6,6,2,2,6,2,6,2,10,,0
e000803,11,남,30,3,4,3,2,7,3,6,3,8,7,3,3
e000804,26,여,30,2,3,4,2,6,2,6,2,3,2,1,1
e000805,11,여,40,3,3,3,3,6,6,2,6,8,3,7,2
e000807,31,남,30,4,2,3,4,5,6,3,6,3,1,5,2
e000810,27,여,30,4,1,1,2,1,6,1,7,8,1,4,0
e000811,11,여,40,2,4,4,3,3,4,6,5,1,7,3,4
e000812,41,남,30,3,5,5,5,6,5,5,4,7,3,1,3
e000817,11,남,30,1,1,1,1,1,4,4,1,1,2,3,2
e000818,41,여,30,2,1,2,2,2,2,2,7,2,5,10,1
e000823,11,여,40,4,4,4,5,6,4,1,7,7,6,5,0
e000826,41,여,50,2,1,2,1,2,6,2,6,3,2,6,2
e000828,30,여,60,3,4,2,3,3,6,2,4,2,1,10,1
e000830,41,남,30,3,7,1,1,4,5,1,4,7,1,3,2
e000831,28,남,40,2,2,2,3,2,5,6,6,7,8,2,3
e000838,28,남,30,2,6,2,7,6,6,2,6,2,3,1,3
