place_id,여행지명,여행지설명,city,분류,activity_type,activity_ids,activity_level,season_preference,emotion_match
2308180006,함덕해수욕장,함덕해수욕장,전라북도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308180007,강릉 월화 거리,강릉월화거리,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308180008,경주계림,경주계림,서울특별시,자연관광지,실외,1,5,Summer,1;10;11;12;13
2308180011,CU 제주함덕서우봉점,CU 제주함덕서우봉점,제주특별자치도,식당/카페,실내,11,5,Summer,1;11;12;13;2
2308180012,Confetti 콘페리 (파르나스 호텔 뷔페),Confetti 콘페티 (파르나스 호텔 뷔페),전라남도,식당/카페,실내,11,5,Summer,1;11;12;13;2
2308180013,경주 중앙시장,경주중앙시장,제주특별자치도,"상업지구(거리, 시장, 쇼핑시설)",실내,4,8,Summer,1;12;21;22;23
2308180014,폰드 메르,폰드메르,제주특별자치도,식당/카페,실내,11,8,Summer,1;21;22;23;5
2308190001,다정이네 올레시장 본점,다정이네 올레시장본점,강원도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308190002,낙산사,2001아울렛 구로점,강원도,식당/카페,실내,11,7,Summer,1;10;11;12;13
2308190003,곽지해수욕장,2001아울렛 구로점,경상북도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308190004,아쿠아 플라넷 제주,아쿠아플라넷 제주,강원도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308190005,속초관광수산시장,속초관광수산시장,서울특별시,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308190006,경기전,경기전,제주특별자치도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308190007,분당중앙공원,중앙공원,강원도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308190008,서귀포 매일 올레시장,서귀포매일올레시장,서울특별시,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308190009,23번 자매 실내 마차,23번자매실내마차,제주특별자치도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308190010,23번 포장마차,23번포장마차,강원도,식당/카페,실내,11,6,Summer,1;11;12;13;2
2308190011,강릉 월화 거리,강릉월화거리,충청북도,식당/카페,실내,11,5,Summer,1;11;12;13;2
2308190012,디피랑,디피랑,경기도,"산책로, 둘레길 등",실외,7,5,Summer,1;11;12;13;2
2308190014,1도씨 맥주,왕가탕후루 전주객사점,대전광역시,상점,실내,10,3,Summer,1;13;2;21;22
2308200001,유월드 루지 테마파크,유월드루지테마파크,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308200002,이순신광장,이순신광장,강원도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308200003,성심당 본점,성심당 본점,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308200004,검멀레해변,2001아울렛 구로점,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308200005,광안리해수욕장,2001아울렛 구로점,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308200006,새별 오름,2001아울렛 구로점,부산광역시,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308200007,곽지해수욕장,곽지해수욕장,경기도,식당/카페,실내,11,5,Summer,1;10;11;12;13
