place_id,여행지명,여행지설명,city,분류,activity_type,activity_ids,activity_level,season_preference,emotion_match
2305240001,런던 베이글 뮤지엄 도산점,런던베이글뮤지엄 도산점,Unknown,식당/카페,실내,1;6,2.0,Spring,
2305240002,호남 식당,호남식당,Unknown,식당/카페,실내,1;2;3;4;5;6;7;99,8.0,Spring,
2305240003,컴포즈커피 먹골 중랑점,컴포즈커피,Unknown,식당/카페,실내,1;2;4;5;7,5.0,Spring,
2305240004,서울 장미축제,서울장미축제장,Unknown,지역 축제/행사,Unknown,1;2;3;4;5,5.0,Spring,
2305240005,보슬보슬 압구정본점,보슬보슬 압구정본점,Unknown,식당/카페,실내,1;2;4;5;6,5.0,Spring,
2305240006,류 게스트하우스,류게스트하우스,Unknown,숙소,Unknown,1;2;3;4;5;6,6.0,Spring,
2305270002,제주 국제공항,제주국제공항,Unknown,"역, 터미널, 고속도로 휴게소",Unknown,1;2;3;4;5;6;7,7.0,Spring,
2305270003,김포국제공항 국내선,김포국제공항 국내선,Unknown,"역, 터미널, 고속도로 휴게소",Unknown,1;2;3;4;5;6;7,7.0,Spring,
2305270004,버거킹 시청역점,버거킹 시청역점,Unknown,식당/카페,실내,1;2;3;4;5;6;7;99,8.0,Spring,
2305270005,서울시립미술관 서소문 본관,서울시립미술관 서소문본관,Unknown,"문화 시설(공연장, 영화관, 전시관 등)",Unknown,1;2;3;4;5;6;7;99,8.0,Spring,
2305270007,용호동 낙지 북창점,용호동낙지 북창점,Unknown,식당/카페,실내,1;2;3;4;5;6;7;99,8.0,Spring,
2305270008,동화 아파트,동화아파트,Unknown,친구/친지집,Unknown,1;2;3;4;5;7,6.0,Spring,
2305280001,덕수궁 중명전,덕수궁 중명전,Unknown,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",실내,1;2;3;4;5;6;7,7.0,Spring,
2305280002,덕수궁,덕수궁,Unknown,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",실내,1;2;3;4;5;6;7,7.0,Spring,
2305280003,정동 전망대,정동전망대,Unknown,식당/카페,실내,1;2;3;4;5;6;7,7.0,Spring,
2305280005,더블린 브루어리 시청점,더블린 브루어리 시청점,Unknown,식당/카페,실내,1;2;3;4;5;6;7,7.0,Spring,
2305280010,스텝 인 명동 ,,제주,숙소,Unknown,2;5;7,3.0,Spring,
2305190002,서울대학교병원,서울대학교병원,Unknown,사무실,Unknown,1;2;3;4;5;6;7;99,8.0,Spring,
2305190003,콘래드 서울,콘래드 서울,Unknown,숙소,Unknown,1;3;4;5;6;7,6.0,Spring,
2305200001,제스트 콘래드 서울점,제스트&아트리오,Unknown,식당/카페,실내,1;2;3;4;5;6,6.0,Spring,
2305200002,BMW 한독모터스 서초전시장,BMW 한독모터스 서초전시장,Unknown,체험 활동 관광지,Unknown,1;2;3;4;5;7,6.0,Spring,
2305200003,프랭크 버거 교대역점,프랭크버거 교대역점,Unknown,식당/카페,실내,1;2;3;4;5;6;7,7.0,Spring,
2305190002,감성 교복 잠실 본점,감성교복 잠실본점,Unknown,체험 활동 관광지,Unknown,1;2;3;4;5;6;7;99,8.0,Spring,
2305190003,롯데월드,롯데월드,Unknown,"테마시설(놀이공원, 워터파크)",실외,1;3;4;5;6;7,6.0,Spring,
2305190004,베스티안 오피스텔,베스티안,Unknown,친구/친지집,Unknown,1;2;4;5;7,5.0,Spring,
2305190005,감성 교복 잠실 본점,감성교복 잠실본점,Unknown,체험 활동 관광지,Unknown,1;3;4;5;6,5.0,Spring,
2305200001,페어링 룸,페어링룸,Unknown,식당/카페,실내,1;2;3;4;5;6,6.0,Spring,
2305200002,도산 근린공원,도산공원,Unknown,자연관광지,실외,1;2;3;4;5;7,6.0,Spring,
2305200003,런던 베이글 뮤지엄 도산점,런던베이글뮤지엄 도산점,Unknown,식당/카페,실내,1;2;3;4;5;6;7,7.0,Spring,
2305200004,탬버린즈하우스도산,탬버린즈하우스도산,Unknown,"상업지구(거리, 시장, 쇼핑시설)",실내,1;2;3;4;5;7,6.0,Spring,
